Date,Open,High,Low,Close,Adj Close,Volume
2018-01-28,105.129997,105.540001,104.709999,105.180000,100.434578,816280
2018-01-29,104.529999,105.129997,103.364998,103.480003,98.811279,832555
2018-01-30,102.480003,103.330002,102.019997,103.129997,98.477066,1029265
2018-01-31,103.730003,103.980003,103.290001,103.709999,99.030899,793371
2018-02-01,104.000000,104.989998,103.019997,104.989998,100.253143,591277
2018-02-04,103.000000,104.190002,103.000000,103.360001,98.696686,788736
2018-02-05,100.080002,100.250000,96.820000,97.879997,93.463936,2536020
2018-02-06,102.000000,102.800003,100.250000,101.730003,97.140228,2011065
2018-02-07,101.099998,103.080002,100.860001,103.080002,98.429329,946737
2018-02-08,101.800003,101.860001,99.510002,100.529999,95.994377,1221288
2018-02-11,99.900002,101.580002,99.260002,101.250000,96.681892,784675
2018-02-12,102.000000,103.050003,101.370003,102.400002,97.779999,840090
2018-02-13,102.809998,102.930000,101.620003,102.099998,97.493538,435246
2018-02-14,103.000000,103.599998,102.300003,103.400002,98.734886,683843
2018-02-15,103.800003,104.239998,103.050003,103.050003,98.400681,440557
2018-02-18,103.599998,104.000000,103.220001,103.559998,98.887657,1600832
2018-02-19,103.019997,104.150002,103.019997,103.349998,98.687141,456695
2018-02-20,103.000000,103.339996,102.620003,102.949997,98.3051≠83,621992
2018-02-21,103.250000,103.580002,102.720001,102.720001,98.085564,507719
2018-02-22,102.019997,102.720001,100.815002,101.970001,97.369400,1919108
2018-02-25,102.629997,102.989998,101.930000,102.500000,97.875488,498771
2018-02-26,103.500000,104.349998,102.989998,103.589996,98.916306,654081
2018-02-27,103.919998,104.839996,103.510002,103.650002,98.973602,696390
2018-02-28,103.820000,104.480003,102.580002,102.930000,98.286087,819706
2018-03-01,102.839996,103.279999,101.570000,102.629997,97.999619,990525
2018-03-04,103.019997,103.150002,101.769997,102.150002,97.541283,363899
2018-03-05,104.000000,104.000000,103.410004,103.570000,98.897217,670878
2018-03-06,102.870003,103.209999,101.690002,102.150002,97.541283,663525
2018-03-07,102.989998,104.339996,102.699997,104.019997,99.326912,1323258
2018-03-08,104.589996,105.949997,103.904999,105.459999,100.701942,777785
2018-03-11,107.540001,107.680000,106.410004,106.620003,101.809608,751920
2018-03-12,106.000000,106.989998,105.800003,106.599998,101.790512,863535
2018-03-13,106.489998,106.504997,105.470001,105.680000,100.912025,476609
2018-03-14,106.220001,106.339996,105.080002,105.839996,101.064796,969403
2018-03-15,105.669998,106.160004,104.239998,104.900002,100.167206,923627
2018-03-18,105.800003,105.980003,105.139999,105.389999,100.635101,487472
2018-03-19,105.029999,105.430000,104.629997,105.029999,100.291344,422333
2018-03-20,105.580002,106.110001,105.500000,105.809998,101.036148,479023
2018-03-21,105.500000,106.839996,105.239998,106.690002,101.876450,864431
2018-03-22,105.000000,105.000000,103.599998,103.980003,99.288719,912702
2018-03-25,103.430000,104.595001,102.510002,102.889999,98.247894,835938
2018-03-26,104.500000,104.614998,103.550003,104.099998,99.403305,750430
2018-03-27,103.599998,103.900002,102.540001,102.809998,98.171501,669804
2018-03-28,103.000000,103.660004,102.580002,102.900002,98.257446,2811068
2018-04-03,102.000000,102.639999,101.250000,102.080002,97.474442,654488
2018-04-04,101.750000,102.080002,100.800003,100.919998,96.366776,801837
2018-04-05,101.750000,101.870003,100.680000,100.820000,96.271294,1027213
2018-04-06,100.849998,101.690002,100.699997,101.349998,96.777374,584582
2018-04-09,100.889999,102.160004,100.599998,101.599998,97.016098,451034
2018-04-10,101.550003,103.250000,101.260002,103.089996,98.438873,616851
2018-04-11,103.230003,104.139999,103.059998,103.790001,99.107292,586577
2018-04-12,103.970001,104.220001,102.959999,103.360001,98.696686,562039
2018-04-13,104.199997,104.599998,103.669998,104.209999,99.508339,430032
2018-04-16,104.459999,104.809998,103.669998,104.540001,99.823456,386092
2018-04-17,104.989998,105.339996,104.320000,104.320000,99.613373,477394
2018-04-18,104.379997,105.000000,103.800003,104.750000,100.023979,535164
2018-04-19,105.250000,105.250000,104.230003,104.449997,99.737511,733581
2018-04-20,104.440002,105.190002,104.250000,104.800003,100.071724,323203
2018-04-23,105.150002,105.790001,105.000000,105.519997,100.759232,453269
2018-04-24,105.750000,106.300003,105.529999,105.879997,101.102997,506795
2018-04-26,106.000000,106.169998,105.150002,105.419998,100.663742,924587
2018-04-27,105.809998,108.459999,105.809998,108.099998,103.222832,1974833
2018-04-30,108.739998,109.480003,108.160004,108.690002,103.786217,760978
2018-05-01,108.500000,108.779999,106.309998,107.720001,102.859978,808851
2018-05-02,107.889999,107.989998,106.180000,106.970001,102.143814,1303886
2018-05-03,107.680000,107.860001,106.199997,107.750000,102.888618,815885
2018-05-04,110.620003,110.949997,107.750000,108.010002,103.136894,1158690
2018-05-07,109.900002,110.849998,109.209999,110.089996,105.123047,1182415
2018-05-08,110.989998,112.080002,110.809998,112.000000,106.946877,1310429
2018-05-09,111.900002,113.309998,111.320000,112.870003,107.777626,953593
2018-05-10,113.500000,114.110001,112.000000,113.989998,108.847092,1111532
2018-05-11,114.080002,114.400002,113.400002,113.400002,108.283714,883770
2018-05-14,110.000000,112.110001,109.750000,111.750000,109.806763,3194866
2018-05-15,112.089996,113.250000,111.470001,112.769997,110.809021,785500
2018-05-16,113.389999,115.000000,113.269997,114.900002,112.901985,1055449
2018-05-17,113.320000,113.699997,112.769997,113.690002,111.713028,707823
2018-05-18,114.000000,114.639999,113.010002,114.550003,112.558075,673789
2018-05-21,114.639999,115.540001,113.750000,115.339996,113.334328,819181
2018-05-22,115.250000,115.489998,113.919998,114.419998,112.430328,545113
2018-05-23,114.970001,116.529999,114.370003,116.430000,114.405380,843283
2018-05-24,116.000000,116.239998,115.089996,116.239998,114.218681,700723
2018-05-25,115.900002,117.070000,115.250000,116.879997,114.847549,1503806
2018-05-28,116.760002,116.809998,115.349998,115.730003,113.717552,510119
2018-05-29,115.699997,116.550003,115.379997,116.099998,114.081116,589891
2018-05-30,112.959999,113.680000,111.760002,113.250000,111.280678,1875646
2018-05-31,114.970001,115.699997,114.209999,114.330002,112.341896,1404426
2018-06-01,114.209999,114.339996,112.589996,112.839996,110.877800,516573
2018-06-04,114.000000,114.000000,113.010002,113.099998,111.133286,562280
2018-06-05,112.500000,113.220001,112.070000,112.300003,110.347198,966530
2018-06-06,112.220001,113.930000,112.070000,113.160004,111.192245,903863
2018-06-07,113.620003,114.620003,113.330002,113.489998,111.516502,691104
2018-06-08,113.370003,113.580002,112.620003,113.070000,111.103806,524901
2018-06-12,113.099998,113.485001,112.629997,113.199997,111.231544,989596
2018-06-13,113.300003,113.800003,113.050003,113.800003,111.821114,595326
2018-06-14,113.300003,113.940002,113.000000,113.449997,111.477196,603888
2018-06-15,113.949997,117.349998,113.949997,117.190002,115.152168,1413072
2018-06-18,117.519997,117.639999,115.730003,116.400002,114.375900,569450
2018-06-19,118.800003,120.245003,118.500000,118.500000,116.439384,1252482
2018-06-20,121.000000,121.760002,120.169998,121.720001,119.603394,1245666
2018-06-21,123.910004,123.989998,121.720001,122.730003,120.595833,1258856
2018-06-22,122.550003,122.680000,121.580002,122.029999,119.907997,748663
2018-06-25,122.220001,122.730003,121.209999,122.589996,120.458260,805850
2018-06-26,121.199997,121.620003,120.000000,120.970001,118.866432,921512
2018-06-27,121.480003,122.720001,121.449997,122.209999,120.084869,750028
2018-06-28,123.000000,126.769997,123.000000,126.699997,124.496788,1562069
2018-06-29,126.250000,127.000000,123.500000,123.650002,121.499832,2725340
2018-07-02,124.010002,125.000000,122.820000,123.080002,120.939743,633112
2018-07-03,124.239998,124.779999,122.730003,123.099998,120.959389,825017
2018-07-04,121.500000,121.790001,120.580002,121.059998,118.954865,866181
2018-07-05,121.750000,122.980003,121.690002,122.449997,120.320694,596811
2018-07-06,122.129997,123.150002,121.680000,122.959999,120.821823,579259
2018-07-09,123.029999,123.870003,122.699997,123.629997,121.480171,594221
2018-07-10,124.349998,124.474998,122.500000,122.519997,120.389473,676210
2018-07-11,122.410004,122.750000,120.919998,121.989998,119.868690,713701
2018-07-12,122.500000,123.059998,121.699997,122.580002,120.448433,738062
2018-07-13,123.000000,123.639999,121.860001,123.010002,120.870956,639501
2018-07-16,123.580002,124.279999,121.930000,122.519997,120.389473,566932
2018-07-17,121.000000,122.320000,120.849998,121.330002,119.220169,593212
2018-07-18,122.000000,124.099998,121.870003,124.099998,121.942001,721243
2018-07-19,124.500000,124.879997,123.410004,124.199997,122.040260,829666
2018-07-20,124.370003,125.379997,124.000000,125.239998,123.062180,663832
2018-07-23,124.360001,124.559998,123.610001,124.000000,121.843742,442432
2018-07-24,125.000000,125.690002,124.169998,125.629997,123.445396,493577
2018-07-25,126.589996,126.589996,124.800003,124.930000,122.757568,647328
2018-07-26,120.139999,122.250000,119.110001,121.699997,119.583733,1675791
2018-07-27,122.250000,124.529999,121.150002,124.019997,121.863388,2601346
2018-07-30,123.000000,123.230003,122.165001,122.989998,120.851303,508017
2018-07-31,122.580002,123.169998,122.010002,122.820000,120.684258,684006
2018-08-01,122.820000,122.989998,121.699997,122.230003,120.104523,669648
2018-08-02,122.230003,122.730003,121.400002,121.400002,119.288956,700749
2018-08-03,122.290001,122.300003,121.019997,121.620003,119.505135,492889
2018-08-06,122.239998,122.800003,121.260002,122.459999,120.330521,370395
2018-08-07,122.459999,123.360001,122.459999,122.849998,120.713737,633344
2018-08-08,122.550003,123.160004,121.709999,121.820000,119.701653,456967
2018-08-09,122.379997,123.059998,121.489998,122.610001,120.477913,623158
2018-08-10,122.620003,122.730003,121.400002,122.290001,120.163475,574184
2018-08-13,121.690002,122.849998,121.510002,122.480003,120.350174,548188
2018-08-14,123.000000,123.989998,122.919998,123.989998,121.833916,759074
2018-08-15,124.739998,125.500000,123.800003,125.500000,123.317657,596153
2018-08-16,125.500000,126.000000,123.129997,124.739998,122.570869,768651
2018-08-17,123.500000,124.800003,123.070000,124.559998,122.394005,613365
2018-08-20,125.239998,125.540001,123.809998,124.570000,122.403831,572018
2018-08-21,124.870003,124.980003,123.809998,124.739998,122.570869,517070
2018-08-22,123.870003,124.599998,123.510002,124.300003,122.138527,384982
2018-08-23,124.000000,124.519997,123.250000,123.949997,121.794609,675881
2018-08-24,124.580002,126.150002,124.334999,125.320000,123.140785,659825
2018-08-27,125.000000,125.910004,124.320000,125.449997,123.268524,310214
2018-08-28,125.599998,126.779999,124.559998,124.559998,122.394005,621420
2018-08-29,124.389999,126.139999,124.370003,126.120003,123.926880,846508
2018-08-30,126.669998,128.660004,125.500000,128.460007,126.226196,931212
2018-08-31,128.550003,129.750000,128.490005,129.399994,127.149834,1677505
2018-09-03,129.869995,129.869995,128.820007,129.350006,127.100716,384498
2018-09-04,129.000000,129.199997,127.900002,128.369995,126.137749,384840
2018-09-05,127.650002,128.289993,127.330002,127.559998,125.341835,468822
2018-09-06,126.000000,126.599998,124.300003,124.519997,122.354698,796067
2018-09-07,122.779999,123.540001,121.699997,122.680000,120.546700,790684
2018-09-10,122.000000,122.919998,121.550003,122.639999,120.507393,584503
2018-09-11,123.220001,125.269997,123.220001,124.870003,122.698616,790967
2018-09-12,125.500000,126.709999,125.169998,126.510002,124.310097,708464
2018-09-13,125.839996,125.839996,123.620003,123.839996,121.686523,738996
2018-09-14,123.839996,124.889999,123.589996,124.430000,122.266266,678448
2018-09-17,124.290001,125.500000,123.400002,125.099998,122.924614,600026
2018-09-18,124.370003,125.400002,124.074997,124.220001,122.059921,584489
2018-09-19,124.550003,126.089996,124.309998,125.980003,123.789314,627331
2018-09-20,125.169998,127.389999,124.629997,126.610001,124.408356,1292835
2018-09-21,127.500000,128.220001,127.169998,127.849998,125.626793,1543883
2018-09-24,127.330002,127.449997,126.419998,126.879997,124.673660,693542
2018-09-25,126.500000,127.699997,126.209999,127.650002,125.430275,629173
2018-09-26,127.180000,127.629997,126.110001,126.889999,124.683487,638251
2018-09-27,128.100006,128.509995,127.089996,127.750000,125.528534,719174
2018-09-28,128.300003,129.000000,126.040001,126.040001,123.848267,1771784
2018-10-01,125.000000,126.000000,123.620003,124.570000,122.403831,543547
2018-10-02,125.000000,125.760002,122.199997,122.629997,120.497559,832827
2018-10-03,122.610001,123.800003,121.949997,122.379997,120.251907,583949
2018-10-04,122.629997,124.059998,122.610001,123.690002,121.539131,755251
2018-10-05,122.849998,125.879997,122.800003,125.269997,123.091652,829279
2018-10-07,123.419998,124.190002,123.089996,123.720001,121.568611,942959
2018-10-08,123.400002,124.150002,122.389999,122.559998,120.428780,1152181
2018-10-09,122.500000,123.000000,121.769997,122.910004,120.772697,594479
2018-10-10,118.019997,119.529999,115.489998,115.489998,113.481720,2007983
2018-10-11,112.599998,115.720001,112.330002,115.529999,113.521027,1935320
2018-10-14,115.000000,115.050003,112.330002,114.830002,112.833206,835934
2018-10-15,114.449997,115.300003,113.830002,114.449997,112.459808,876087
2018-10-16,117.800003,118.449997,116.690002,117.360001,115.319206,880624
2018-10-17,118.910004,118.919998,115.269997,116.279999,114.257988,931859
2018-10-18,114.500000,116.870003,114.099998,116.870003,114.837730,753192
2018-10-21,115.800003,116.269997,114.190002,114.959999,112.960938,935263
2018-10-22,114.800003,115.989998,113.849998,113.900002,111.919373,997464
2018-10-23,113.639999,114.739998,113.309998,113.730003,111.752335,746159
2018-10-24,111.860001,112.760002,110.129997,110.129997,108.214928,1389435
2018-10-25,111.550003,113.089996,110.279999,111.169998,109.236847,2000604
2018-10-28,111.870003,113.070000,111.410004,112.809998,110.848328,618467
2018-10-29,112.339996,115.389999,112.070000,115.309998,113.304848,958863
2018-10-30,117.000000,117.660004,115.910004,117.199997,115.161987,1339139
2018-10-31,116.510002,117.879997,116.339996,117.870003,115.820343,1119055
2018-11-01,121.000000,122.620003,119.559998,122.419998,120.291214,2097747
2018-11-04,124.000000,124.470001,121.720001,121.720001,119.603394,962633
2018-11-05,121.220001,121.809998,120.589996,121.500000,119.387215,615454
2018-11-06,121.120003,122.099998,119.570000,120.809998,118.709213,966684
2018-11-07,121.250000,123.330002,121.250000,123.089996,120.949562,975108
2018-11-08,122.230003,124.699997,122.150002,123.639999,121.489998,825766
2018-11-11,121.019997,122.389999,121.019997,122.029999,122.029999,1192639
2018-11-12,120.239998,120.790001,118.820000,119.430000,119.430000,840408
2018-11-13,119.360001,120.235001,118.250000,118.750000,118.750000,1681856
2018-11-14,118.989998,119.180000,117.849998,118.809998,118.809998,862201
2018-11-15,122.790001,122.860001,118.849998,119.000000,119.000000,696777
2018-11-18,117.360001,118.680000,115.760002,116.230003,116.230003,877712
2018-11-19,116.010002,116.500000,114.389999,114.930000,114.930000,972155
2018-11-20,112.769997,113.269997,111.690002,112.769997,112.769997,1175503
2018-11-21,113.000000,114.199997,112.449997,114.199997,114.199997,807272
2018-11-22,114.139999,115.290001,113.650002,114.529999,114.529999,522888
2018-11-25,113.209999,114.589996,112.599998,113.459999,113.459999,697164
2018-11-26,113.519997,115.180000,113.500000,114.989998,114.989998,784533
2018-11-27,115.489998,115.760002,114.680000,115.040001,115.040001,635946
